salesId,dateTime,carPlate,custId,employeeId,carPlate,carModel,acquirePrice,carStatus,salesPrice
A0060,2023-08-21T08:35:41Z,HUV012,C0039,E0006,HUV012,Nissan X-Trail,150400,0,160000,
A0061,2023-08-22T10:37:54Z,JWX123,C0062,E0014,JWX123,Mazda CX-9,180600,0,189000,
A0062,2023-08-26T18:46:46Z,LZY234,C0085,E0008,LZY234,Ford Explorer,170800,0,182100,
A0063,2023-08-27T20:48:59Z,NAB345,C0048,E0011,NAB345,Chevrolet Traverse,160000,0,167700,
A0064,2023-08-28T22:51:12Z,PDE4560,C0024,E0005,PDE4560,Mercedes-Benz C200,259900,0,275000,
A0065,2023-08-30T00:53:25Z,RGH567,C0014,E0015,RGH567,Honda Odyssey,160000,0,168800,
A0066,2023-08-31T02:55:38Z,TIJ6781,C0097,E0001,TIJ6781,BMW 3 Series,248800,0,265000,
A0067,2023-09-01T04:57:51Z,VLM789,C0042,E0013,VLM789,Honda CR-V,140000,0,158800,
A0068,2023-09-03T09:02:17Z,XNO901,C0024,E0005,XNO901,Mitsubishi ASX,130000,0,136500,
A0069,2023-09-04T11:04:30Z,ZQR0122,C0066,E0015,ZQR0122,Audi A4,206500,0,217000,
A0070,2023-09-06T15:08:56Z,BST123,C0097,E0001,BST123,Mazda CX-9,180000,0,189000,
A0071,2023-09-08T19:13:22Z,DUV234,C0042,E0013,DUV234,Ford Explorer,170000,0,178000,
A0072,2023-09-10T23:17:48Z,FXY345,C0033,E0002,FXY345,Chevrolet Traverse,160000,0,168000,
A0073,2023-09-12T01:20:01Z,HBC4563,C0052,E0003,HBC4563,Volvo XC40,241500,0,270000,
A0074,2023-09-13T03:22:14Z,JEF567,C0064,E0010,JEF567,Honda Odyssey,160000,0,168000,
A0075,2023-09-14T05:24:27Z,LGH6784,C0087,E0004,LGH6784,Peugeot 3008,150900,0,160000,
A0076,2023-09-15T12:34:56Z,NIJ789,C0045,E0009,NIJ789,Honda Civic,85000,0,89250,
A0077,2023-09-16T23:45:12Z,PKL901,C0022,E0012,PKL901,Toyota Camry,90000,0,94500,
A0078,2023-09-18T10:11:22Z,RNO012,C0015,E0006,RNO012,Nissan Almera,80000,0,84000,
A0079,2023-09-19T14:15:16Z,TQR123,C0037,E0014,TQR123,Mazda 3,110000,0,115500,
A0080,2023-09-20T18:19:10Z,VST234,C0046,E0008,VST234,Ford Focus,100000,0,105000,
A0081,2023-09-22T07:23:04Z,WUV345,C0026,E0011,WUV345,Chevrolet Cruze,95000,0,99750,
A0082,2023-09-23T21:26:58Z,YBC456,C0008,E0005,YBC456,Kia Forte,85000,0,89250,
A0083,2023-09-25T08:30:52Z,ZDE5675,C0070,E0015,ZDE5675,Subaru XV,117800,0,123050,
A0084,2023-09-26T13:34:46Z,JKT567,C0054,E0001,JKT567,Mitsubishi Lancer,90000,0,94500,
A0085,2023-09-27T19:38:40Z,RQZ1230,C0060,E0013,RQZ1230,Renault Captur,105300,0,111000,
A0086,2023-09-29T06:42:34Z,BNG789,C0020,E0002,BNG789,Mazda 6,140000,0,147000,
A0087,2023-09-30T20:46:28Z,XYP4567,C0013,E0004,XYP4567,Toyota Yaris,70940,0,75000,
A0088,2023-10-02T07:50:22Z,MVC901,C0002,E0009,MVC901,Perodua Bezza,42550,0,47000,
A0089,2023-10-03T12:54:16Z,LGH2345,C0057,E0012,LGH2345,Toyota Avanza,73800,0,76700,
A0090,2023-10-04T18:58:10Z,WFD678,C0044,E0006,WFD678,Perodua Myvi,41200,0,44000,
A0091,2023-10-06T05:02:04Z,ZTR3456,C0022,E0014,ZTR3456,Honda Civic,109000,0,115900,
A0092,2023-10-07T19:05:58Z,HJK1026,C0016,E0008,HJK1026,Ford Ranger,90900,0,98500,
A0093,2023-10-09T06:09:52Z,NML5678,C0054,E0011,NML5678,Nissan Almera,80000,0,85300,
A0094,2023-10-10T11:13:46Z,CDE304,C0050,E0005,CDE304,Mazda CX5,132000,0,140000,
A0095,2023-10-11T17:17:40Z,VBN6789,C0026,E0015,VBN6789,Hyundai Kona,115000,0,132000,
A0096,2023-10-13T04:21:34Z,QWE405,C0009,E0001,QWE405,Kia Picanto,50000,0,56250,
A0097,2023-10-14T18:25:28Z,ASD1237,C0079,E0013,ASD1237,Isuzu D-Max,88600,0,92000,
A0098,2023-10-16T12:00:21Z,YUI607,C0003,E0002,YUI607,Honda Jazz,72800,0,73900,
A0099,2023-10-20T13:14:15Z,OPR7890,C0058,E0003,OPR7890,Toyota Vios,74200,0,76500,
A0100,2023-10-21T08:50:55Z,GFD908,C0020,E0010,GFD908,Perodua Kancil,5000,0,5200,
